iD;molecularFormula;adduct;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;ClassyFire#all classifications
721;C27H53NO3;[M + H]+;Fatty acids;9.4681E+15;Sphingolipids;2.65006E+15;Ceramides;2.83767E+15;N-acyl amines;7.56611E+15;N-acyl amines;7.56611E+15;Fatty amides;4.8149E+15;Fatty Acyls;4.2464E+15;Lipids and lipid-like molecules;4.52593E+14;"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; N-acyl amines; Secondary alcohols; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
722;C29H57NO4;[M + H]+;Fatty acids;9.86912E+15;Sphingolipids;2.09391E+16;Ceramides;1.34511E+15;Fatty amides;7.05238E+15;;;Fatty amides;7.05238E+15;Fatty Acyls;7.18472E+15;Lipids and lipid-like molecules;9.3431E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
729;C21H41NO2;[M + H]+;Fatty acids;9.82758E+15;Fatty amides;9.12375E+15;N-acyl amines;8.42971E+15;N-acyl amines;9.889E+15;N-acyl amines;9.889E+15;Fatty amides;9.82343E+15;Fatty Acyls;9.65787E+15;Lipids and lipid-like molecules;9.6812E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
731;C25H29N2O8P;[M + H]+;Alkaloids;3.98526E+15;Nucleosides;3.15458E+16;Pyridine alkaloids;1.48176E+15;Pyrimidine deoxyribonucleotides;6.12876E+15;;;Pyrimidine deoxyribonucleotides;6.12876E+15;Pyrimidine nucleotides;4.90224E+15;Nucleosides, nucleotides, and analogues;3.02017E+15;"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Ureas; Diazines; Carbonyl compounds; Pyrimidine deoxyribonucleotides; Hydropyrimidines; Benzene and substituted derivatives; Benzenoids; Alkyl phosphates; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"
733;C33H61NO7;[M + H]+;Fatty acids;9.86902E+15;Sphingolipids;9.89487E+14;Neutral glycosphingolipids;9.95177E+15;Alkyl glycosides;9.99598E+15;Alkyl glycosides;9.99598E+15;Fatty acyl glycosides;9.9953E+15;Fatty Acyls;9.94193E+15;Lipids and lipid-like molecules;9.88747E+15;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; N-acyl amines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
735;C32H53N5O2;[M + H]+;Fatty acids;7.93666E+15;Fatty amides;5.70847E+15;N-acyl amines;6.01855E+15;N-acyl amines;9.72092E+14;N-acyl amines;9.72092E+14;Fatty amides;9.46632E+15;Fatty Acyls;9.1569E+15;Lipids and lipid-like molecules;8.01196E+14;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
736;C13H20N2O6;[M + H]+;Carbohydrates;9.619E+15;Nucleosides;9.73575E+14;Pyrimidine nucleos(t)ides;9.82524E+15;Alpha amino acid esters;5.0446E+15;Amino acids and derivatives;4.72902E+15;Amino acids, peptides, and analogues;4.69847E+16;Carboxylic acids and derivatives;9.62888E+14;Organic acids and derivatives;9.99916E+15;"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Alpha amino acid esters; Pyrimidine nucleosides; Ureas; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Diazines; Carbonyl compounds; Oxolanes; Hydropyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
737;C16H22O4;[M + H]+;Shikimates and Phenylpropanoids;9.92728E+15;Phenolic acids (C6-C1);9.91865E+15;Simple phenolic acids;9.75592E+15;p-Phthalate esters;6.18376E+15;Phthalic acid and derivatives;2.11361E+16;Benzoic acids and derivatives;9.97708E+15;Benzene and substituted derivatives;9.99109E+15;Benzenoids;9.99821E+15;"Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; P-phthalic acid and derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; p-Phthalate esters; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
738;C16H31NO;[M + H]+;Fatty acids;7.90091E+15;Fatty amides;9.4754E+15;N-acyl amines;8.97909E+15;Secondary carboxylic acid amides;9.81517E+15;Carboxylic acid amides;9.90058E+15;Carboxylic acid derivatives;9.85893E+15;Carboxylic acids and derivatives;9.93693E+15;Organic acids and derivatives;9.99038E+15;"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
740;C22H41NO;[M + H]+;Fatty acids;9.83368E+15;Fatty amides;9.30458E+15;N-acyl amines;8.49003E+15;Fatty amides;5.80909E+15;;;Fatty amides;5.80909E+15;Fatty Acyls;5.04827E+15;Lipids and lipid-like molecules;7.17493E+15;"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
741;C37H42N4O7;[M + H]+;Polyketides;3.95806E+16;Oligopeptides;5.37123E+15;Depsipeptides;3.06669E+16;Amino acids and derivatives;8.84391E+15;Amino acids and derivatives;8.84391E+15;Amino acids, peptides, and analogues;8.81166E+15;Carboxylic acids and derivatives;9.58382E+15;Organic acids and derivatives;9.88177E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"
742;C24H47NO2;[M + H]+;Fatty acids;9.99668E+15;Fatty amides;9.75679E+15;N-acyl ethanolamines (endocannabinoids);8.57416E+15;N-acyl amines;9.9328E+15;N-acyl amines;9.9328E+15;Fatty amides;9.90557E+15;Fatty Acyls;9.91254E+15;Lipids and lipid-like molecules;9.85608E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acylethanolamines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
743;C24H49NO3;[M + H]+;Fatty acids;9.40876E+15;Sphingolipids;8.36095E+15;Ceramides;4.07669E+16;1,2-aminoalcohols;7.31118E+15;Alkanolamines;8.16808E+15;Amines;9.65852E+15;Organonitrogen compounds;1E+16;Organic nitrogen compounds;1E+16;"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
748;C15H22N10O5S;[M + H]+;Carbohydrates;7.2596E+15;Nucleosides;7.16144E+14;Purine nucleos(t)ides;2.58137E+14;Alpha amino acid amides;6.13228E+15;Amino acids and derivatives;9.31563E+15;Amino acids, peptides, and analogues;9.25436E+15;Carboxylic acids and derivatives;8.54028E+15;Organic acids and derivatives;9.4142E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Azo compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Thioethers; Diazines; Secondary carboxylic acid amides; Imidazopyrimidines; Carbonyl compounds; Azo imides; Alpha amino acid amides; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
750;C21H45N;[M + H]+;Fatty acids;9.706E+15;Fatty acyls;9.64288E+15;Hydrocarbons;9.58722E+15;Dialkylamines;5.76526E+15;Secondary amines;7.22587E+15;Amines;9.99427E+15;Organonitrogen compounds;9.99995E+15;Organic nitrogen compounds;9.99982E+15;"Organic compounds; Organonitrogen compounds; Dialkylamines; Amines; Secondary amines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"
752;C28H53NO4;[M + H]+;Fatty acids;8.62192E+15;Fatty amides;5.55684E+15;N-acyl amines;7.03621E+15;N-acyl-alpha amino acids;9.30232E+15;Amino acids and derivatives;9.30702E+15;Amino acids, peptides, and analogues;9.33125E+15;Carboxylic acids and derivatives;9.9949E+15;Organic acids and derivatives;9.99546E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
754;C43H81N2O7P;[M + H]+;Fatty acids;9.9668E+15;Sphingolipids;7.00094E+15;Phosphosphingolipids;9.18094E+15;Ceramide phosphoethanolamines;9.79321E+15;Phosphoceramides;8.58818E+15;Phosphosphingolipids;9.09317E+15;Sphingolipids;7.55182E+15;Lipids and lipid-like molecules;9.97827E+14;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Phosphoethanolamines; Ceramide phosphoethanolamines; Phosphoceramides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Phosphosphingolipids; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
755;C23H44O6;[M + H]+;Fatty acids;9.83509E+15;Glycerolipids;9.87808E+15;Monoacylglycerols;9.52424E+15;Monoacylglycerols;5.68156E+15;Monoacylglycerols;5.68156E+15;Monoradylglycerols;7.0704E+15;Glycerolipids;9.83984E+15;Lipids and lipid-like molecules;9.99299E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Monoacylglycerols; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
756;C23H42O5;[M + H]+;Fatty acids;9.89081E+15;Glycerolipids;9.93793E+15;Diacylglycerols;9.31812E+15;1,2-diacylglycerols;9.9964E+14;Diacylglycerols;9.94233E+15;Diradylglycerols;9.92265E+15;Glycerolipids;9.96783E+15;Lipids and lipid-like molecules;9.87928E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
757;C21H38N6O4;[M + H]+;Alkaloids;9.76506E+15;Ornithine alkaloids;4.34188E+16;Polyamines;4.92917E+15;Amino acids and derivatives;9.31951E+15;Amino acids and derivatives;9.31951E+15;Amino acids, peptides, and analogues;9.30046E+15;Carboxylic acids and derivatives;9.99421E+15;Organic acids and derivatives;9.99978E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Aminopyrimidines and derivatives; Carbonyl compounds; Amines; Tertiary amines; Tertiary alkylarylamines; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
759;C36H44O11;[M + Na]+;Shikimates and Phenylpropanoids;6.31829E+14;Triterpenoids;1.52715E+15;Dimeric phloroglucinols;1.9162E+16;Benzopyrans;5.72115E+15;;;;;Benzopyrans;5.72115E+15;Organoheterocyclic compounds;9.51066E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Ethers; Prenol lipids; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dialkyl ethers; Carboxylic acids; Carbonyl compounds; Oxanes; Benzene and substituted derivatives; Polyols; Benzenoids; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
760;C36H44O11;[M + H]+;Polyketides;4.40328E+15;Meroterpenoids;3.93011E+16;Dimeric phloroglucinols;1.23527E+15;Pyranoxanthones;9.95213E+15;Dibenzopyrans;9.65779E+15;1-benzopyrans;9.65394E+15;Benzopyrans;9.62046E+15;Organoheterocyclic compounds;9.95268E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Chromones; Xanthenes; Xanthones; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Tertiary alcohols; Carbonyl compounds; Benzenoids; Dibenzopyrans; 1-benzopyrans; Pyranoxanthones; Pyranochromenes; Aryl ketones; Vinylogous acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
761;C36H66NO11P;[M + H]+;Fatty acids;9.7309E+15;Glycerophospholipids;9.91812E+14;Oxidized glycerophospholipids;6.89406E+15;Phosphatidylserines;9.0484E+15;Phosphatidylserines;9.0484E+15;Glycerophosphoserines;6.26615E+15;Glycerophospholipids;9.98801E+15;Lipids and lipid-like molecules;9.91454E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylserines; Carbonyl compounds; Tricarboxylic acids and derivatives; Glycerophosphoserines; Alpha amino acids; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
762;C16H14OS;[M + H]+;Polyketides;3.2759E+15;Monoterpenoids;3.18908E+15;Chromones;3.8075E+16;Thiochromenes;9.99981E+14;;;;;Thiochromenes;9.99981E+14;Organoheterocyclic compounds;9.99998E+15;"Organic compounds; Organoheterocyclic compounds; Organooxygen compounds; Cumenes; Benzenoids; Thiochromenes; Benzothiopyrans; 1-benzothiopyrans; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
763;C27H55NO4;[M + H]+;Fatty acids;9.95131E+15;Sphingolipids;9.8369E+15;Ceramides;9.65371E+15;Ceramides;9.67281E+15;;;Ceramides;9.67281E+15;Sphingolipids;8.35097E+15;Lipids and lipid-like molecules;9.78352E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
764;C27H51NO2;[M + H]+;Fatty acids;9.45211E+15;Fatty amides;6.87978E+15;N-acyl amines;7.81513E+15;Secondary carboxylic acid amides;6.69351E+15;Carboxylic acid amides;4.83604E+15;Carboxylic acid derivatives;5.07473E+15;Carboxylic acids and derivatives;3.79825E+14;Organic acids and derivatives;7.15473E+15;"Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
765;C11H16N4O6S;[M + Na]+;Amino acids and Peptides;6.45611E+14;Small peptides;5.10937E+15;Dipeptides;2.96293E+15;Heteroaromatic compounds;7.37559E+15;;;;;Heteroaromatic compounds;7.37559E+15;Organoheterocyclic compounds;8.4805E+15;"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carboxylic acids; Carbonyl compounds; Amines; Organic 1,3-dipolar compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
766;C31H61NO4;[M + H]+;Fatty acids;8.52116E+15;Sphingolipids;2.9081E+15;Ceramides;2.13945E+16;Lipids and lipid-like molecules;9.25371E+15;;;;;;;Lipids and lipid-like molecules;9.25371E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Acetals; Trialkylamines; Amines; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
767;C29H57NO3;[M + H]+;Fatty acids;9.78878E+15;Sphingolipids;4.52128E+16;Ceramides;5.04779E+15;N-acyl amines;9.73151E+15;N-acyl amines;9.73151E+15;Fatty amides;8.4473E+15;Fatty Acyls;7.08562E+14;Lipids and lipid-like molecules;7.09974E+14;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
771;C18H30O4;[M + H]+;Fatty acids;8.03477E+14;Octadecanoids;7.64248E+15;Other Octadecanoids;9.14708E+14;Lineolic acids and derivatives;7.47796E+15;;;Lineolic acids and derivatives;7.47796E+15;Fatty Acyls;9.90173E+15;Lipids and lipid-like molecules;9.89419E+15;"Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Enones; Epoxy fatty acids; Carbonyl compounds; Long-chain fatty acids; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
772;C18H33NO;[M + H]+;Fatty acids;9.79863E+15;Fatty amides;9.61252E+15;N-acyl amines;8.73461E+15;Fatty amides;7.37309E+15;;;Fatty amides;7.37309E+15;Fatty Acyls;5.4524E+15;Lipids and lipid-like molecules;7.11704E+15;"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
773;C24H47N9O5;[M + H]+;Amino acids and Peptides;7.53368E+15;Small peptides;6.23442E+15;Tripeptides;8.14703E+15;Oligopeptides;9.19086E+15;Peptides;9.09728E+15;Amino acids, peptides, and analogues;9.99309E+15;Carboxylic acids and derivatives;9.97827E+15;Organic acids and derivatives;9.99049E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
774;C27H53NO2;[M + H]+;Fatty acids;9.97727E+15;Fatty amides;9.34381E+15;N-acyl amines;3.00315E+15;N-acyl amines;9.93687E+14;N-acyl amines;9.93687E+14;Fatty amides;9.88594E+15;Fatty Acyls;9.75371E+15;Lipids and lipid-like molecules;9.60661E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
775;C32H59NO6;[M + H]+;Fatty acids;9.61171E+15;Sphingolipids;8.35921E+15;Ceramides;2.97413E+16;N-acyl amines;7.73545E+13;N-acyl amines;7.73545E+13;Fatty amides;7.40708E+15;Fatty Acyls;9.49995E+15;Lipids and lipid-like molecules;9.63928E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
